Piece Mark,Pipe Length (Quantity),WLD % All (scaled),% Entry (computed),Shipped
LP1Y-AI(100)-199005-03-2,0,0.0,0.0,N
LP1Y-AI(100)-199005-03-3,0,0.0,0.0,N
LP1Y-AI(100)-199006-02-1,0,0.0,0.0,N
LP1Y-AI(100)-199006-02-2,0,0.0,0.0,N
LP1Y-AI(100)-199006-05-1,0,0.0,0.0,N
LP1Y-AI(100)-199006-05-2,0,0.0,0.0,N
LP1Y-AI(100)-199006-05-3,0,0.0,0.0,N
LP1Y-AI(100)-199006-05-4,0,0.0,0.0,N
LP1Y-AI(100)-199006-05-5,0,0.0,0.0,N
LP1Y-APL(100)-019005-02-1,8.07,0.0,0.0,N
LP1Y-APL(100)-019005-02-2,16.45,0.0,0.0,N
LP1Y-APL(100)-019005-03-1,8.36,0.0,0.0,N
LP1Y-APL(100)-019005-03-2,0,0.0,0.0,N
LP1Y-APL(100)-019044-01-1,13.92,33.0,26.4,N
LP1Y-APL(100)-019044-01-2,3.94,100.0,80.0,N
LP1Y-APL(100)-019044-01-3,2.21,0.0,0.0,N
LP1Y-APL(100)-019044-01-4,4.22,0.0,0.0,N
LP1Y-APL(100)-019044-01-5,1.74,100.0,100.0,Y
LP1Y-APL(100)-019044-03-1,5.07,100.0,80.0,N
LP1Y-APL(100)-019044-03-2,1.91,100.0,100.0,Y
LP1Y-APL(100)-019044-03-3,0.65,100.0,100.0,Y
LP1Y-APL(100)-019045-01-1,14.25,100.0,100.0,Y
LP1Y-APL(100)-019045-01-2,7.43,0.0,0.0,N
LP1Y-APL(100)-019045-03-1,5.24,75.0,60.0,N
LP1Y-APL(100)-019045-03-2,2.3,0.0,0.0,N
LP1Y-APL(100)-019045-03-3,1.19,100.0,100.0,Y
LP1Y-APL(100)-019045-03-4,4.04,100.0,100.0,Y
LP1Y-APL(100)-019045-03-5,0,100.0,100.0,Y
LP1Y-APL(100)-019047-01-1,9.38,100.0,80.0,N
LP1Y-APL(100)-019047-01-2,9.2,100.0,80.0,N
LP1Y-APL(100)-019047-01-3,3.96,100.0,80.0,N
LP1Y-APL(100)-019047-02-1,4.7,0.0,0.0,N
LP1Y-APL(100)-019047-04-1,4.28,0.0,0.0,N
LP1Y-APL(100)-019047-04-2,1.47,100.0,80.0,N
